Categorias,Categorias-Href,,Productos-Href,Nombre,Descripcion,Precio,Url-Imagen,SKU
Cuidado-de-la-Piel,https://www.gpsfarma.com/cuidado-de-la-piel.html,,https://www.gpsfarma.com/cuidado-de-la-piel/q10-reafirmante-3.html,Q10-Reafirmante,"Piel-más-firme-en-sólo-2-semanas-y-humectación-duradera-con-la-crema-corporal-Q10-Reafirmante.-Su-exclusiva-fórmula-con-Coenzima-Q10,-Creatina-y-L-Carnitina-estimulan-la-renovación-celular-y-devuelven-la-firmeza-y-elasticidad-a-la-piel.","$-193,92",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/0/4005808319817.jpg,4005808319817
Cuidado-Personal,https://www.gpsfarma.com/cuidado-personal-1.html,,https://www.gpsfarma.com/cuidado-personal-1/talco-mineral-sandalo.html,Desodorante-Aerosol-Men-Talco-Mineral-+-Sándalo-Antitranspirante-x-89-gr,Dove-Men+Care-Talco-Mineral-+-Sándalo-proporciona-una-protección-duradera-con-la-esencia-de-los-ingredientes-inspirados-en-los-elementos-de-la-tierra.-Combina-la-esencia-del-sándalo-y-el-polvo-mineral-con-una-fórmula-antitranspirante-y-está-clínicamente-probado-que-controla-la-humedad-hasta-por-48-horas.,"$-106,87",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7791293033327.jpg,7791293033327
Cuidado-de-la-Salud,https://www.gpsfarma.com/cuidado-de-la-salud.html,,https://www.gpsfarma.com/cuidado-de-la-salud/mu-equeras-elasticas-n3.html,Muñequeras-Elasticas-N3,muñequeras-elasticas,"$-108,52",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7798028520343.jpg,7798028520343
Nutrición,https://www.gpsfarma.com/nutricion-1.html,,https://www.gpsfarma.com/nutricion-1/suplemento-dietario-multivitaminico-silver.html,Suplemento-Dietario-Multivitamínico-Silver,"Los-requerimientos-nutricionales-en-personas-a-partir-de-los-50-años-se-modifican.-Centrum-Silver-está-formulado-para-satisfacer-las-deficiencias-de-vitaminas-y-minerales-propias-de-esta-etapa-de-la-vida-y-contiene-13-vitaminas,-11-minerales-y-luteína.-Ademas-posee-mayores-niveles-de-vitaminas-del-complejo-B,-que-ayudan-a-promover-el-metabolismo-energético.-Centrum-Silver-contiene-mayores-niveles-de-antioxidantes-como-Betacaroteno,-vitamina-C-y-E,-además-de-Selenio-y-Zinc,-que-son-importantes-para-mantener-las-defensas-saludables.-Posee-calcio,-vitamina-D-y-fósforo-que-intervienen-a-nivel-óseo.-Contiene-carotenoides-como-la-vitamina-A-y-el-Betacaroteno-y-luteína-que-puede-ayudar-a-reducir-el-riesgo-de-catarata-y-degeneración-macular,-enfermedades-oculares-asociadas-al-envejecimiento.-Ademas-permite:-Mantener-la-salud-de-tus-huesos-y-colabora-en-tu-visión.-Modo-de-empleo:-Tomar-un-comprimido-al-día-disuelto-en-un-vaso-de-agua,-preferentemente-en-el-desayuno-o-almuerzo.","$-568,45",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/s/u/suplemento_dietario_multivitam_nico_silver.jpg,7795381001854
Dermocosmética,https://www.gpsfarma.com/dermocosmetica.html,,https://www.gpsfarma.com/dermocosmetica/desodorante-antitranspirante-48hs-piel-sensible.html,Desodorante-Antitranspirante-48hs-Piel-Sensible,"Una-suave-fórmula-especialmente-adaptada-a-las-pieles-sensibles-y-depiladas.-Sus-activos-antitranspirantes-asociados-a-la-Proline-Cutei-calmante,-proporcionan-a-la-piel-una-eficacia-antitranspirante-de-increíble-tolerancia-durante-48-horas.","$-1.000,00",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/3/3/3337871320324.jpg,3337871320324
Cuidado-de-la-Salud,https://www.gpsfarma.com/cuidado-de-la-salud.html,,https://www.gpsfarma.com/cuidado-de-la-salud/soporte-de-espalda-medium-49f524.html,Soporte-de-Espalda-Medium,"Soporte-de-espalda,-para-evitar-posturas-viciosas,prevenir-la-cifosis-juvenil,-favoreciendo -la-alineación-postural.","$-686,69",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/B/C/BC1066_1.jpg,7798082445088
Cuidado-Oral,https://www.gpsfarma.com/cuidado-oral.html,,https://www.gpsfarma.com/cuidado-oral/total-12-whitening-1.html,Gel-Dental-Total-12-Whitening-x-90-gr,"El-gel-blanqueador-Total-Whitening-refresca-y-blanquea-los-dientes-al-remover-delicadamente-las-manchas-superficiales.-Combate-gérmenes-por-12-horas-y-ayuda-a-prevenir-placa,-gingivitis,-sarro,-caries-y-mal-aliento.","$-90,24",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7793100111792.jpg,7793100111792
Cuidado-Personal,https://www.gpsfarma.com/cuidado-personal-1.html,,https://www.gpsfarma.com/cuidado-personal-1/desodorante-for-men-6-en-1-cool-dry.html,Desodorante-for-Men-6-en-1-Cool-&-Dry,"Los-antitranspirantes-Adidas-cuentan-con-el-sistema-Dry-Max-System,-sistema-absorbente-de-última-tecnología,-que-brinda-una-combinación-única-de-3-acciones-para-la-mejor-defensa:-48hs-protección,-desodorante-y-antiwhitening.","$-67,91",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/3/235062-3607347856726.jpg,3607347856726
Cuidado-del-Bebé,https://www.gpsfarma.com/cuidado-del-bebe.html,,https://www.gpsfarma.com/cuidado-del-bebe/caricias-de-algodon-mas-de-14-kg-1.html,Caricias-de-Algodón-(Más-de-14-kg),"pañal-para-noches-más-sequitas,-una-capa-ultra-absorbente-que-absorbe-rápidamente-la-humedad-manteniéndola-alejada-de-la-piel-de-tu-bebé-y-barreras-antiderrames-que-se-adaptan-suavemente-alrededor-de-las-piernas-de-tu-bebé,-un-ajuste-cómodo-y-flexible-para-darle-hasta-12-horas-de-protección.","$-102,26",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/7/7790064004092.jpg,7790064004092
Cuidado-Personal,https://www.gpsfarma.com/cuidado-personal-1.html,,https://www.gpsfarma.com/catalog/product/view/id/13088/s/silver-protect/category/118/,Silver-Protect,"Con-iones-de-plata,-elimina-las-bacterias-que-generan-el-mal-olor-y-controla-eficazmente-el-sudor.-48-horas-de-protección-con-el-roll-on-Silver-Protect.","$-66,38",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/4/0/4005808307326.jpg,4005808307326
Cuidado-de-la-Piel,https://www.gpsfarma.com/cuidado-de-la-piel.html,,https://www.gpsfarma.com/cuidado-de-la-piel/jalea-bronzage-bronceadora-instantanea.html,Jalea-Bronzage Bronceadora-Instantánea,"La-novedosa-y-exclusiva-fórmula-de-nuestro-Acelerador-de-Bronceado-ha-sido-desarrollada-para-preparar-la-piel-(mediante-la-generación-de-melanina)-y-lograr-un-bronceado-más-rápido,-con-un-mejor-tono-y-mayor-foto-defensa.-Su-práctica-presentación-en-Spray","$-123,00",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/2/0/207879-7796045110059.jpg,7796045110059
Perfumes-y-Fragancias,https://www.gpsfarma.com/perfumes-y-fragancias.html,,https://www.gpsfarma.com/perfumes-y-fragancias/mon-jasmin-noir-l-eau-exquise.html,Mon-Jasmin-Noir-L'Eau-Exquise,"Es-una-nueva-interpretación-floral-y-fresca.-Desvela-un-agua-de-jazmín-que-captura-la-vitalidad-de-los-jardines-mediterráneos,-donde-la-lujosa-vegetación-se-mezcla-con-las-generosas-y-refrescantes-fuentes.","$-1.399,99",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/7/8/783320402111.jpg,783320402111
Cuidado-de-la-Salud,https://www.gpsfarma.com/cuidado-de-la-salud.html,,https://www.gpsfarma.com/cuidado-de-la-salud/etilico.html,Alcohol-Etílico,"Este-alcohol-etílico,-comúnmente-llamado-alcohol-puro,-es-procesado-en-las-destilerías-de-la-empresa-bajo-la-supervisación-y-control-permanente-de-un-equipo-de-profesionales-químicos-altamente-calificado.-Los-estándares-de-calidad-mantenidos-durante-tanto-tiempo-ubican-a-los-alcoholes-de-Porta-en-una-posición-de-liderazgo-en-Argentina.","$-34,91",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/a/l/alcohol_et_lico.jpg,7790139003630
Perfumes-y-Fragancias,https://www.gpsfarma.com/perfumes-y-fragancias.html,,https://www.gpsfarma.com/perfumes-y-fragancias/eau-de-toilette-king-of-seduction-x-100-ml.html,Eau-de-Toilette-King-Of-Seduction-x-100-ml,"Un-huracán-de-elementos-desatados-compone-una-esencia-de-poderosos-contrastes.-Intensa-y-enérgica,-al-tiempo-que-fresca-y-elegante.-Una-sensual-danza-entre-la-fuerza-y-la-delicadeza-que-te-transportará-al-reino-de-la-seducción.","$-1.030,00",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/8/4/8411061784273.jpg,8411061784273
Dermocosmética,https://www.gpsfarma.com/dermocosmetica.html,,https://www.gpsfarma.com/dermocosmetica/maquillaje-antiage-liftactiv-flexiteint-15-opal.html,Maquillaje-Antiage-Liftactiv-Flexiteint-15-Opal,Base-de-maquillaje-antiarrugas-ideal-para-mujeres-con-líneas-de-expresión-o-signos-de-envejecimiento-que-busquen-una-base-que-no-marque-las-arrugas.-Tono-15-Opal,"$-765,28",https://media.gpsfarma.com/media/catalog/product/cache/1/image/9df78eab33525d08d6e5fb8d27136e95/m/a/maquillaje_antiage_liftactiv_flexiteint_15.jpg,3337871321543
